SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203914,0021500010,"Oct 28, 2015",DEN @ HOU,W,29,2,5,0.4,1,2,0.5,0,0,0.0,0,5,5,5,3,1,1,4,5,23,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500029,"Oct 30, 2015",DEN vs. MIN,L,18,2,8,0.25,0,2,0.0,0,0,0.0,1,0,1,1,1,0,1,3,4,-15,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500044,"Nov 01, 2015",DEN @ OKC,L,27,2,5,0.4,1,2,0.5,2,3,0.667,1,3,4,0,0,0,3,0,7,-22,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500059,"Nov 03, 2015",DEN @ LAL,W,22,5,9,0.556,1,3,0.333,0,1,0.0,0,3,3,2,2,0,0,1,11,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500073,"Nov 05, 2015",DEN vs. UTA,L,28,3,5,0.6,1,1,1.0,0,0,0.0,0,2,2,2,0,1,3,0,7,1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500083,"Nov 06, 2015",DEN @ GSW,L,29,6,8,0.75,2,2,1.0,2,2,1.0,0,3,3,2,1,0,1,1,16,-13,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500102,"Nov 09, 2015",DEN vs. POR,W,25,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,3,0,0,1,2,7,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500121,"Nov 11, 2015",DEN vs. MIL,W,28,3,7,0.429,2,4,0.5,0,0,0.0,0,1,1,5,2,0,2,0,8,4,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500136,"Nov 13, 2015",DEN vs. HOU,W,11,1,3,0.333,1,1,1.0,0,0,0.0,1,3,4,0,1,0,1,4,3,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500143,"Nov 14, 2015",DEN @ PHX,L,26,3,9,0.333,0,5,0.0,1,1,1.0,0,1,1,0,1,1,2,2,7,-17,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500163,"Nov 17, 2015",DEN @ NOP,W,32,5,8,0.625,3,4,0.75,3,4,0.75,2,2,4,3,2,0,2,2,16,15,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500172,"Nov 18, 2015",DEN @ SAS,L,27,6,10,0.6,1,3,0.333,2,2,1.0,1,1,2,1,2,0,0,0,15,-14,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500185,"Nov 20, 2015",DEN vs. PHX,L,28,8,13,0.615,2,4,0.5,2,2,1.0,1,1,2,0,0,0,1,2,20,-2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500200,"Nov 22, 2015",DEN vs. GSW,L,34,5,11,0.455,1,3,0.333,1,2,0.5,2,1,3,3,1,0,2,2,12,-16,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500212,"Nov 24, 2015",DEN vs. LAC,L,35,5,11,0.455,3,6,0.5,1,1,1.0,1,2,3,1,0,0,1,5,14,-11,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500235,"Nov 27, 2015",DEN vs. SAS,L,25,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,3,1,0,2,1,5,-14,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500340,"Dec 11, 2015",DEN vs. MIN,W,44,5,15,0.333,2,6,0.333,0,0,0.0,0,2,2,1,0,0,2,3,12,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500365,"Dec 14, 2015",DEN vs. HOU,W,40,8,11,0.727,1,2,0.5,4,4,1.0,1,1,2,1,1,2,2,1,21,12,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500368,"Dec 15, 2015",DEN @ MIN,W,24,2,5,0.4,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,1,4,3,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500395,"Dec 18, 2015",DEN @ UTA,L,29,5,11,0.455,1,6,0.167,1,1,1.0,0,2,2,2,1,1,3,3,12,-9,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500409,"Dec 20, 2015",DEN vs. NOP,L,26,1,8,0.125,0,3,0.0,0,0,0.0,1,1,2,1,3,1,0,2,2,-21,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500422,"Dec 22, 2015",DEN vs. LAL,L,35,9,15,0.6,2,5,0.4,1,2,0.5,0,1,1,1,1,1,3,4,21,-8,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500433,"Dec 23, 2015",DEN @ PHX,W,38,2,13,0.154,0,5,0.0,0,0,0.0,2,1,3,3,0,0,0,3,4,-5,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500450,"Dec 26, 2015",DEN @ SAS,L,34,4,10,0.4,0,2,0.0,2,2,1.0,0,2,2,5,0,0,2,1,10,-5,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500456,"Dec 27, 2015",DEN @ OKC,L,31,6,13,0.462,2,5,0.4,2,4,0.5,0,2,2,3,2,0,1,2,16,-14,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500473,"Dec 29, 2015",DEN vs. CLE,L,33,5,13,0.385,1,6,0.167,1,2,0.5,1,6,7,2,2,0,2,2,12,1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500482,"Dec 30, 2015",DEN @ POR,L,41,6,11,0.545,4,6,0.667,3,4,0.75,2,2,4,2,2,0,1,1,19,1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500504,"Jan 02, 2016",DEN @ GSW,L,39,5,12,0.417,1,4,0.25,0,0,0.0,0,2,2,1,2,0,1,2,11,-11,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500509,"Jan 03, 2016",DEN vs. POR,L,27,2,6,0.333,2,3,0.667,1,2,0.5,0,2,2,1,1,0,0,3,7,9,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500530,"Jan 06, 2016",DEN @ MIN,W,24,3,6,0.5,2,4,0.5,0,0,0.0,0,0,0,0,0,0,0,1,8,-12,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500542,"Jan 08, 2016",DEN @ MEM,L,31,4,9,0.444,1,4,0.25,2,2,1.0,2,3,5,1,1,0,4,1,11,1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500563,"Jan 10, 2016",DEN vs. CHA,W,36,4,8,0.5,3,5,0.6,1,2,0.5,1,0,1,3,2,0,1,3,12,8,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500583,"Jan 13, 2016",DEN vs. GSW,W,39,7,14,0.5,1,4,0.25,4,4,1.0,3,4,7,0,0,1,1,2,19,-1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500600,"Jan 15, 2016",DEN vs. MIA,L,38,4,14,0.286,1,4,0.25,2,2,1.0,0,1,1,2,0,0,0,1,11,-6,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500613,"Jan 17, 2016",DEN vs. IND,W,38,8,12,0.667,1,3,0.333,3,3,1.0,0,4,4,2,0,0,2,2,20,6,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500627,"Jan 19, 2016",DEN vs. OKC,L,30,3,8,0.375,2,4,0.5,3,4,0.75,1,5,6,2,0,0,3,4,11,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500642,"Jan 21, 2016",DEN vs. MEM,L,21,3,9,0.333,1,3,0.333,0,0,0.0,1,1,2,4,1,0,0,1,7,-2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500661,"Jan 23, 2016",DEN vs. DET,W,32,5,10,0.5,1,3,0.333,2,2,1.0,0,4,4,2,5,0,1,4,13,14,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500672,"Jan 25, 2016",DEN vs. ATL,L,31,6,9,0.667,3,5,0.6,0,0,0.0,0,0,0,1,4,1,3,0,15,-11,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500685,"Jan 27, 2016",DEN @ BOS,L,33,4,7,0.571,1,4,0.25,6,6,1.0,0,7,7,0,2,0,2,1,15,-2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500693,"Jan 28, 2016",DEN @ WAS,W,29,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,0,2,0,2,2,5,4,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500709,"Jan 30, 2016",DEN @ IND,L,36,7,11,0.636,2,3,0.667,2,3,0.667,0,1,1,3,1,1,2,5,18,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500727,"Feb 01, 2016",DEN vs. TOR,W,20,3,6,0.5,2,3,0.667,1,1,1.0,0,2,2,1,0,0,0,4,9,6,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500743,"Feb 03, 2016",DEN @ UTA,L,42,4,9,0.444,1,5,0.2,2,2,1.0,1,5,6,0,3,0,1,3,11,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500757,"Feb 05, 2016",DEN vs. CHI,W,35,3,7,0.429,0,3,0.0,0,0,0.0,2,4,6,1,0,0,0,0,6,-15,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500770,"Feb 07, 2016",DEN @ NYK,W,40,2,9,0.222,0,2,0.0,0,0,0.0,1,3,4,3,1,0,0,1,4,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500778,"Feb 08, 2016",DEN @ BKN,L,40,8,12,0.667,1,4,0.25,0,0,0.0,0,3,3,1,3,0,1,1,17,9,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500794,"Feb 10, 2016",DEN @ DET,W,36,4,11,0.364,1,3,0.333,2,2,1.0,0,2,2,4,2,0,1,1,11,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500816,"Feb 19, 2016",DEN @ SAC,L,40,6,11,0.545,1,5,0.2,1,2,0.5,1,3,4,5,1,0,1,2,14,-5,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500825,"Feb 21, 2016",DEN vs. BOS,L,38,6,14,0.429,0,4,0.0,2,3,0.667,0,1,1,2,3,0,3,2,14,-8,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500842,"Feb 23, 2016",DEN vs. SAC,L,25,2,9,0.222,0,2,0.0,0,0,0.0,1,1,2,3,1,0,0,1,4,-7,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500853,"Feb 24, 2016",DEN @ LAC,W,29,7,14,0.5,3,4,0.75,0,0,0.0,2,3,5,1,3,0,2,1,17,9,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500866,"Feb 26, 2016",DEN @ DAL,L,46,6,13,0.462,3,9,0.333,2,5,0.4,2,2,4,0,2,0,1,4,17,-4,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500888,"Feb 29, 2016",DEN vs. MEM,L,34,6,13,0.462,3,8,0.375,0,0,0.0,1,1,2,1,0,1,1,3,15,0,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500906,"Mar 02, 2016",DEN vs. LAL,W,40,6,12,0.5,2,5,0.4,2,2,1.0,2,1,3,2,1,0,3,2,16,6,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500920,"Mar 04, 2016",DEN vs. BKN,L,41,8,15,0.533,1,7,0.143,4,4,1.0,0,2,2,3,3,1,2,0,21,-1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500933,"Mar 06, 2016",DEN vs. DAL,W,44,7,13,0.538,1,3,0.333,1,1,1.0,1,2,3,3,2,0,2,0,16,14,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500946,"Mar 08, 2016",DEN vs. NYK,W,33,6,11,0.545,2,4,0.5,2,2,1.0,0,4,4,4,1,1,1,1,16,19,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500961,"Mar 10, 2016",DEN vs. PHX,W,32,5,11,0.455,2,5,0.4,0,0,0.0,1,3,4,2,1,0,0,5,12,1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500980,"Mar 12, 2016",DEN vs. WAS,W,31,8,13,0.615,0,3,0.0,1,1,1.0,1,4,5,2,1,1,3,2,17,-5,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500990,"Mar 14, 2016",DEN @ MIA,L,34,6,14,0.429,1,5,0.2,5,6,0.833,0,3,3,2,3,0,0,0,18,12,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021500998,"Mar 15, 2016",DEN @ ORL,L,36,6,12,0.5,2,5,0.4,4,5,0.8,1,2,3,3,3,0,3,1,18,-8,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501015,"Mar 17, 2016",DEN @ ATL,L,32,6,15,0.4,1,3,0.333,2,3,0.667,3,1,4,2,1,0,0,4,15,-19,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501028,"Mar 19, 2016",DEN @ CHA,W,37,5,7,0.714,1,2,0.5,2,2,1.0,2,2,4,1,0,0,3,1,13,-2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501044,"Mar 21, 2016",DEN @ CLE,L,34,4,12,0.333,1,6,0.167,2,2,1.0,0,2,2,1,2,0,0,2,11,-45,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501064,"Mar 23, 2016",DEN vs. PHI,W,35,6,11,0.545,1,2,0.5,5,5,1.0,2,3,5,0,0,0,0,1,18,-1,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501081,"Mar 25, 2016",DEN @ LAL,W,24,6,13,0.462,1,4,0.25,0,1,0.0,2,1,3,2,2,0,1,2,13,-11,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501092,"Mar 27, 2016",DEN @ LAC,L,29,4,10,0.4,3,5,0.6,0,0,0.0,0,1,1,2,2,0,0,2,11,-15,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501103,"Mar 28, 2016",DEN vs. DAL,L,30,5,9,0.556,2,4,0.5,1,1,1.0,0,0,0,1,0,0,1,1,13,7,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501114,"Mar 30, 2016",DEN @ MEM,W,20,2,7,0.286,1,5,0.2,0,0,0.0,0,1,1,4,1,1,0,4,5,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501125,"Mar 31, 2016",DEN @ NOP,L,38,6,11,0.545,1,3,0.333,3,3,1.0,0,0,0,4,2,0,1,2,16,-21,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501141,"Apr 02, 2016",DEN vs. SAC,L,36,6,11,0.545,4,7,0.571,3,4,0.75,0,4,4,2,0,2,0,1,19,2,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501160,"Apr 05, 2016",DEN vs. OKC,L,27,6,10,0.6,3,6,0.5,2,3,0.667,1,3,4,5,2,0,1,0,17,-15,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501186,"Apr 08, 2016",DEN vs. SAS,W,29,2,6,0.333,0,3,0.0,2,2,1.0,0,3,3,3,1,0,1,3,6,19,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501198,"Apr 10, 2016",DEN vs. UTA,L,33,5,9,0.556,1,3,0.333,2,2,1.0,0,3,3,2,0,0,0,1,13,-18,1,2015-16,Regular Season,203914,Gary Harris
22015,203914,0021501230,"Apr 13, 2016",DEN @ POR,L,37,6,15,0.4,2,5,0.4,2,2,1.0,1,3,4,1,0,0,3,1,16,3,1,2015-16,Regular Season,203914,Gary Harris
22016,203914,0021600082,"Nov 05, 2016",DEN @ DET,L,16,1,5,0.2,0,1,0.0,1,2,0.5,1,2,3,1,0,0,0,0,3,0,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600091,"Nov 06, 2016",DEN @ BOS,W,22,5,10,0.5,1,2,0.5,1,1,1.0,0,4,4,1,1,1,0,5,12,-1,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600102,"Nov 08, 2016",DEN @ MEM,L,30,5,13,0.385,2,6,0.333,3,4,0.75,1,2,3,3,1,0,3,3,15,-3,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600119,"Nov 10, 2016",DEN vs. GSW,L,18,5,7,0.714,1,2,0.5,0,2,0.0,1,1,2,3,0,0,2,0,11,-24,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600138,"Nov 12, 2016",DEN vs. DET,L,28,5,11,0.455,0,2,0.0,3,3,1.0,0,4,4,4,0,0,1,2,13,1,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600386,"Dec 15, 2016",DEN vs. POR,W,32,7,11,0.636,3,4,0.75,1,1,1.0,0,4,4,6,2,1,0,4,18,13,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600404,"Dec 17, 2016",DEN vs. NYK,W,30,6,9,0.667,0,1,0.0,4,6,0.667,0,2,2,2,1,0,0,2,16,20,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600417,"Dec 19, 2016",DEN vs. DAL,W,34,9,13,0.692,4,6,0.667,2,4,0.5,0,2,2,4,2,0,3,4,24,28,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600426,"Dec 20, 2016",DEN @ LAC,L,19,1,6,0.167,1,2,0.5,0,0,0.0,1,1,2,1,1,0,1,0,3,-28,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600451,"Dec 23, 2016",DEN vs. ATL,L,30,5,12,0.417,0,3,0.0,2,3,0.667,2,0,2,4,1,1,0,1,12,-9,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600470,"Dec 26, 2016",DEN @ LAC,W,31,2,9,0.222,1,4,0.25,5,6,0.833,1,3,4,1,0,0,0,2,10,7,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600483,"Dec 28, 2016",DEN vs. MIN,W,29,7,12,0.583,2,5,0.4,1,1,1.0,1,3,4,1,0,0,2,0,17,1,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600500,"Dec 30, 2016",DEN vs. PHI,L,34,5,12,0.417,2,6,0.333,5,6,0.833,1,3,4,4,1,0,3,2,17,3,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600520,"Jan 02, 2017",DEN @ GSW,L,31,5,12,0.417,0,3,0.0,1,2,0.5,3,1,4,3,2,0,0,3,11,-10,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600526,"Jan 03, 2017",DEN vs. SAC,L,32,6,11,0.545,3,4,0.75,0,0,0.0,1,0,1,3,1,0,0,0,15,0,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600543,"Jan 05, 2017",DEN vs. SAS,L,26,3,11,0.273,1,4,0.25,1,2,0.5,1,0,1,5,1,0,1,1,8,-15,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600589,"Jan 12, 2017",DEN vs. IND,W,34,6,11,0.545,1,1,1.0,3,3,1.0,0,5,5,6,1,0,1,2,16,26,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600617,"Jan 16, 2017",DEN vs. ORL,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600664,"Jan 22, 2017",DEN @ MIN,L,35,9,13,0.692,2,4,0.5,2,2,1.0,2,3,5,3,1,0,2,1,22,7,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600678,"Jan 24, 2017",DEN vs. UTA,W,27,4,11,0.364,1,6,0.167,1,2,0.5,0,2,2,2,0,0,1,1,10,8,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600692,"Jan 26, 2017",DEN vs. PHX,W,28,2,9,0.222,2,4,0.5,2,2,1.0,1,0,1,1,1,2,3,1,8,6,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600709,"Jan 28, 2017",DEN @ PHX,W,35,6,15,0.4,1,6,0.167,2,3,0.667,1,6,7,4,2,0,0,4,15,12,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600729,"Jan 31, 2017",DEN @ LAL,L,32,6,11,0.545,3,4,0.75,2,2,1.0,1,3,4,4,4,0,4,3,17,-5,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600737,"Feb 01, 2017",DEN vs. MEM,L,25,4,4,1.0,2,2,1.0,2,2,1.0,0,2,2,1,1,0,2,0,12,-8,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600752,"Feb 03, 2017",DEN vs. MIL,W,27,6,13,0.462,2,6,0.333,0,0,0.0,0,2,2,2,2,0,1,4,14,5,2,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600762,"Feb 04, 2017",DEN @ SAS,L,25,4,9,0.444,0,1,0.0,0,0,0.0,1,3,4,3,2,0,0,0,8,-16,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600776,"Feb 06, 2017",DEN vs. DAL,W,37,5,12,0.417,4,5,0.8,6,6,1.0,2,3,5,1,2,0,3,1,20,20,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600785,"Feb 08, 2017",DEN @ ATL,L,34,5,14,0.357,1,8,0.125,2,3,0.667,0,1,1,3,2,0,2,2,13,-14,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600800,"Feb 10, 2017",DEN @ NYK,W,34,6,10,0.6,3,6,0.5,1,1,1.0,2,5,7,2,1,0,2,0,16,22,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600811,"Feb 11, 2017",DEN @ CLE,L,29,6,11,0.545,3,5,0.6,1,2,0.5,0,3,3,0,1,1,1,0,16,-12,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600827,"Feb 13, 2017",DEN vs. GSW,W,32,6,12,0.5,4,7,0.571,0,2,0.0,1,1,2,1,1,0,3,0,16,14,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600842,"Feb 15, 2017",DEN vs. MIN,L,38,8,17,0.471,3,6,0.5,3,4,0.75,1,2,3,2,2,0,2,2,22,-13,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600855,"Feb 23, 2017",DEN @ SAC,L,35,9,19,0.474,5,11,0.455,0,0,0.0,0,2,2,1,2,0,1,1,23,-8,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600864,"Feb 24, 2017",DEN vs. BKN,W,27,9,15,0.6,4,6,0.667,3,3,1.0,0,2,2,1,1,0,0,1,25,12,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600876,"Feb 26, 2017",DEN vs. MEM,L,34,8,16,0.5,3,8,0.375,0,0,0.0,2,1,3,3,1,1,1,3,19,6,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600891,"Feb 28, 2017",DEN @ CHI,W,36,7,12,0.583,1,5,0.2,0,0,0.0,2,2,4,4,2,0,0,1,15,9,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600899,"Mar 01, 2017",DEN @ MIL,W,34,6,12,0.5,2,6,0.333,0,0,0.0,1,2,3,2,1,0,3,3,14,11,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600923,"Mar 04, 2017",DEN vs. CHA,L,22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0,-12,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600943,"Mar 06, 2017",DEN vs. SAC,W,35,5,7,0.714,2,3,0.667,3,4,0.75,0,3,3,3,3,0,2,1,15,10,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600958,"Mar 08, 2017",DEN vs. WAS,L,37,10,15,0.667,6,9,0.667,0,0,0.0,1,1,2,4,0,0,0,0,26,-2,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600970,"Mar 10, 2017",DEN vs. BOS,W,36,3,9,0.333,1,4,0.25,2,2,1.0,1,2,3,1,3,0,2,3,9,12,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600984,"Mar 11, 2017",DEN @ SAC,W,36,10,15,0.667,2,5,0.4,2,2,1.0,1,2,3,2,2,1,1,0,24,9,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021600998,"Mar 13, 2017",DEN vs. LAL,W,35,4,15,0.267,1,6,0.167,3,4,0.75,2,2,4,7,3,0,2,2,12,17,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601018,"Mar 16, 2017",DEN vs. LAC,W,41,6,9,0.667,3,5,0.6,5,5,1.0,0,2,2,5,0,0,1,3,20,-2,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601034,"Mar 18, 2017",DEN vs. HOU,L,39,6,14,0.429,1,4,0.25,4,5,0.8,3,3,6,2,2,0,1,2,17,0,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601048,"Mar 20, 2017",DEN @ HOU,L,39,10,16,0.625,3,6,0.5,5,6,0.833,1,1,2,4,3,0,3,2,28,-4,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601064,"Mar 22, 2017",DEN vs. CLE,W,32,8,14,0.571,3,6,0.5,2,2,1.0,0,3,3,4,0,0,0,2,21,-4,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601075,"Mar 24, 2017",DEN @ IND,W,30,3,3,1.0,2,2,1.0,2,2,1.0,1,1,2,2,1,0,4,2,10,0,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601095,"Mar 26, 2017",DEN vs. NOP,L,23,5,12,0.417,1,4,0.25,2,2,1.0,0,0,0,1,0,0,1,0,13,-15,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601109,"Mar 28, 2017",DEN @ POR,L,37,8,14,0.571,1,3,0.333,2,3,0.667,0,2,2,3,2,0,0,1,19,-7,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601127,"Mar 31, 2017",DEN @ CHA,L,41,8,14,0.571,3,7,0.429,1,1,1.0,0,5,5,3,0,0,1,4,20,-14,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601149,"Apr 02, 2017",DEN @ MIA,W,37,3,10,0.3,0,5,0.0,3,4,0.75,1,2,3,2,2,0,1,1,9,6,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601158,"Apr 04, 2017",DEN @ NOP,W,41,10,12,0.833,2,2,1.0,1,2,0.5,3,5,8,5,2,0,3,3,23,-1,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601168,"Apr 05, 2017",DEN @ HOU,L,30,8,14,0.571,1,4,0.25,0,1,0.0,1,2,3,1,1,0,0,3,17,-10,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601184,"Apr 07, 2017",DEN vs. NOP,W,37,7,14,0.5,3,7,0.429,3,3,1.0,0,6,6,9,1,0,1,1,20,22,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601198,"Apr 09, 2017",DEN vs. OKC,L,36,1,8,0.125,0,3,0.0,0,0,0.0,0,0,0,5,0,0,1,1,2,-9,1,2016-17,Regular Season,203914,Gary Harris
22016,203914,0021601214,"Apr 11, 2017",DEN @ DAL,W,35,6,10,0.6,4,7,0.571,4,6,0.667,2,6,8,8,1,0,3,1,20,20,1,2016-17,Regular Season,203914,Gary Harris
22017,203914,0021700010,"Oct 18, 2017",DEN @ UTA,L,36,5,7,0.714,3,3,1.0,1,1,1.0,1,4,5,3,1,0,1,2,14,0,1,2017-18,Regular Season,203914,Gary Harris
