SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612761,TOR,Toronto Raptors,0021500009,10/28/2015,TOR vs. IND,W,239,106,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500024,10/30/2015,TOR @ BOS,W,240,113,36,82,0.439,11,26,0.423,30,35,0.857,9,44,53,23,11,3,21,33,10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500042,11/1/2015,TOR vs. MIL,W,238,106,41,90,0.456,11,25,0.44,13,20,0.65,18,28,46,22,12,3,13,19,19,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500057,11/3/2015,TOR @ DAL,W,241,102,37,82,0.451,5,17,0.294,23,26,0.885,10,37,47,18,8,6,16,26,11,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500066,11/4/2015,TOR @ OKC,W,240,103,33,79,0.418,5,14,0.357,32,39,0.821,12,33,45,12,14,3,14,16,5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500075,11/6/2015,TOR @ ORL,L,241,87,30,86,0.349,5,23,0.217,22,29,0.759,15,29,44,13,5,5,9,18,-5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500096,11/8/2015,TOR @ MIA,L,240,76,28,71,0.394,3,19,0.158,17,22,0.773,7,31,38,17,8,5,16,21,-20,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500109,11/10/2015,TOR vs. NYK,L,240,109,37,84,0.44,4,17,0.235,31,39,0.795,14,35,49,25,7,6,11,17,-2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500115,11/11/2015,TOR @ PHI,W,241,119,43,89,0.483,5,18,0.278,28,31,0.903,17,39,56,22,7,7,8,18,16,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500131,11/13/2015,TOR vs. NOP,W,239,100,34,77,0.442,9,21,0.429,23,27,0.852,13,35,48,19,8,5,15,19,19,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500150,11/15/2015,TOR @ SAC,L,241,101,38,87,0.437,15,31,0.484,10,14,0.714,7,29,36,18,13,1,15,20,-6,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500164,11/17/2015,TOR @ GSW,L,240,110,37,79,0.468,6,18,0.333,30,39,0.769,12,28,40,18,11,2,18,25,-5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500173,11/18/2015,TOR @ UTA,L,241,89,34,80,0.425,5,20,0.25,16,18,0.889,9,28,37,14,10,4,14,17,-4,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500188,11/20/2015,TOR @ LAL,W,241,102,34,78,0.436,15,33,0.455,19,24,0.792,12,29,41,21,7,3,12,15,11,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500196,11/22/2015,TOR @ LAC,W,240,91,29,78,0.372,4,17,0.235,29,31,0.935,14,32,46,15,8,0,14,19,11,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500219,11/25/2015,TOR vs. CLE,W,240,103,40,79,0.506,11,25,0.44,12,22,0.545,6,34,40,14,8,5,9,15,4,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500239,11/28/2015,TOR @ WAS,W,240,84,31,72,0.431,11,24,0.458,11,14,0.786,6,42,48,17,8,7,22,21,2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500250,11/29/2015,TOR vs. PHX,L,240,102,38,86,0.442,12,29,0.414,14,17,0.824,8,35,43,19,6,7,11,17,-5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500272,12/2/2015,TOR @ ATL,W,241,96,36,79,0.456,6,25,0.24,18,24,0.75,8,42,50,12,10,5,12,18,10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500278,12/3/2015,TOR vs. DEN,L,240,105,39,92,0.424,8,27,0.296,19,22,0.864,9,30,39,21,9,3,4,16,-1,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500290,12/5/2015,TOR vs. GSW,L,239,109,40,91,0.44,8,20,0.4,21,26,0.808,11,27,38,21,9,3,6,27,-3,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500308,12/7/2015,TOR vs. LAL,W,240,102,34,74,0.459,9,25,0.36,25,32,0.781,8,30,38,18,7,2,7,13,9,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500323,12/9/2015,TOR vs. SAS,W,240,97,37,64,0.578,3,10,0.3,20,22,0.909,4,30,34,23,10,2,20,24,3,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500337,12/11/2015,TOR vs. MIL,W,240,90,34,70,0.486,7,20,0.35,15,23,0.652,7,32,39,16,9,8,16,23,7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500355,12/13/2015,TOR vs. PHI,W,242,96,32,78,0.41,7,22,0.318,25,34,0.735,8,33,41,14,11,9,8,15,20,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500357,12/14/2015,TOR @ IND,L,240,90,29,79,0.367,10,28,0.357,22,26,0.846,15,30,45,10,9,6,18,21,-16,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500383,12/17/2015,TOR @ CHA,L,265,99,35,97,0.361,9,39,0.231,20,28,0.714,9,37,46,18,7,10,8,22,-10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500390,12/18/2015,TOR @ MIA,W,240,108,41,80,0.513,8,21,0.381,18,22,0.818,6,32,38,18,11,5,7,12,14,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500408,12/20/2015,TOR vs. SAC,L,240,94,35,94,0.372,8,29,0.276,16,17,0.941,13,36,49,12,8,3,12,18,-10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500421,12/22/2015,TOR vs. DAL,W,241,103,35,74,0.473,12,26,0.462,21,27,0.778,10,43,53,20,4,4,17,19,4,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500441,12/26/2015,TOR @ MIL,W,239,111,42,81,0.519,13,29,0.448,14,19,0.737,9,35,44,31,7,10,8,17,21,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500463,12/28/2015,TOR @ CHI,L,240,97,38,88,0.432,6,20,0.3,15,24,0.625,11,35,46,23,5,5,7,19,-7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500477,12/30/2015,TOR vs. WAS,W,240,94,28,82,0.341,6,24,0.25,32,39,0.821,15,40,55,14,5,6,16,16,3,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500492,1/1/2016,TOR vs. CHA,W,240,104,36,91,0.396,15,33,0.455,17,18,0.944,20,34,54,21,6,4,13,19,10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500507,1/3/2016,TOR vs. CHI,L,240,113,42,92,0.457,13,31,0.419,16,19,0.842,13,24,37,21,6,8,8,19,-2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500511,1/4/2016,TOR @ CLE,L,240,100,36,73,0.493,8,19,0.421,20,29,0.69,8,18,26,24,9,5,9,19,-22,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500529,1/6/2016,TOR @ BKN,W,240,91,35,80,0.438,4,22,0.182,17,18,0.944,12,37,49,16,12,7,17,15,17,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500540,1/8/2016,TOR @ WAS,W,240,97,34,75,0.453,5,14,0.357,24,26,0.923,6,41,47,11,7,13,22,18,9,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500554,1/9/2016,TOR @ PHI,W,242,108,41,75,0.547,5,17,0.294,21,27,0.778,6,31,37,19,7,7,13,16,13,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500588,1/14/2016,TOR @ ORL,W,267,106,37,90,0.411,8,24,0.333,24,31,0.774,11,36,47,20,11,11,10,16,3,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500621,1/18/2016,TOR vs. BKN,W,241,112,43,85,0.506,13,24,0.542,13,18,0.722,8,28,36,24,8,4,7,17,12,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500633,1/20/2016,TOR vs. BOS,W,240,115,46,83,0.554,11,29,0.379,12,17,0.706,9,28,37,23,7,5,13,15,6,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500649,1/22/2016,TOR vs. MIA,W,242,101,35,75,0.467,13,25,0.52,18,21,0.857,6,35,41,19,4,8,12,15,20,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500666,1/24/2016,TOR vs. LAC,W,240,112,41,83,0.494,12,22,0.545,18,26,0.692,8,36,44,19,8,3,15,26,18,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500680,1/26/2016,TOR vs. WAS,W,241,106,35,79,0.443,11,29,0.379,25,32,0.781,11,37,48,20,7,3,15,22,17,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500694,1/28/2016,TOR vs. NYK,W,239,103,37,85,0.435,8,20,0.4,21,29,0.724,15,35,50,21,7,11,10,19,10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500708,1/30/2016,TOR vs. DET,W,241,111,36,78,0.462,4,14,0.286,35,47,0.745,13,32,45,12,9,3,13,20,4,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500727,2/1/2016,TOR @ DEN,L,240,93,29,78,0.372,8,25,0.32,27,39,0.692,9,26,35,13,13,6,12,17,-19,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500732,2/2/2016,TOR @ PHX,W,241,104,35,74,0.473,9,27,0.333,25,32,0.781,8,27,35,15,9,3,12,22,7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500748,2/4/2016,TOR @ POR,W,240,110,40,85,0.471,12,19,0.632,18,25,0.72,12,33,45,23,7,6,14,18,7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500779,2/8/2016,TOR @ DET,W,240,103,39,70,0.557,11,20,0.55,14,17,0.824,2,34,36,22,11,2,15,22,14,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500797,2/10/2016,TOR @ MIN,L,241,112,39,86,0.453,10,31,0.323,24,32,0.75,11,29,40,19,3,10,6,34,-5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500809,2/19/2016,TOR @ CHI,L,240,106,38,88,0.432,5,18,0.278,25,34,0.735,11,34,45,22,7,7,8,19,-10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500829,2/21/2016,TOR vs. MEM,W,240,98,33,81,0.407,7,28,0.25,25,31,0.806,9,38,47,12,4,2,12,22,13,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500835,2/22/2016,TOR @ NYK,W,240,122,46,87,0.529,11,25,0.44,19,25,0.76,13,34,47,26,7,6,6,19,27,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500849,2/24/2016,TOR vs. MIN,W,238,114,41,85,0.482,10,26,0.385,22,26,0.846,13,26,39,21,7,7,12,22,9,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500864,2/26/2016,TOR vs. CLE,W,240,99,37,73,0.507,6,17,0.353,19,26,0.731,5,29,34,18,6,0,11,23,2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500879,2/28/2016,TOR @ DET,L,241,101,39,80,0.488,10,21,0.476,13,18,0.722,8,24,32,21,5,1,5,24,-13,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500900,3/2/2016,TOR vs. UTA,W,241,104,40,80,0.5,6,22,0.273,18,21,0.857,10,35,45,12,7,5,9,18,10,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500916,3/4/2016,TOR vs. POR,W,242,117,34,67,0.507,6,12,0.5,43,54,0.796,9,29,38,12,5,4,13,30,2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500936,3/6/2016,TOR vs. HOU,L,238,107,37,77,0.481,12,33,0.364,21,27,0.778,7,35,42,27,8,6,15,24,-6,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500944,3/8/2016,TOR vs. BKN,W,240,104,37,78,0.474,10,23,0.435,20,25,0.8,12,28,40,24,9,7,16,15,5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500959,3/10/2016,TOR vs. ATL,W,241,104,38,82,0.463,7,24,0.292,21,29,0.724,11,37,48,16,6,3,13,24,8,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500977,3/12/2016,TOR vs. MIA,W,265,112,37,84,0.44,6,18,0.333,32,38,0.842,7,35,42,17,10,7,13,23,8,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021500991,3/14/2016,TOR vs. CHI,L,241,107,37,83,0.446,6,20,0.3,27,31,0.871,10,32,42,12,5,9,5,18,-2,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501000,3/15/2016,TOR @ MIL,W,242,107,39,83,0.47,14,30,0.467,15,17,0.882,13,35,48,27,4,8,9,23,18,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501012,3/17/2016,TOR @ IND,W,264,101,32,88,0.364,7,22,0.318,30,38,0.789,15,42,57,11,5,5,14,21,7,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501023,3/18/2016,TOR vs. BOS,W,242,105,37,77,0.481,13,28,0.464,18,25,0.72,7,33,40,18,10,8,12,19,14,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501038,3/20/2016,TOR vs. ORL,W,240,105,35,81,0.432,6,20,0.3,29,45,0.644,14,31,45,18,8,7,10,18,5,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501057,3/23/2016,TOR @ BOS,L,239,79,31,89,0.348,6,22,0.273,11,20,0.55,15,37,52,13,3,7,11,15,-12,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501077,3/25/2016,TOR @ HOU,L,240,109,39,94,0.415,13,31,0.419,18,26,0.692,15,30,45,23,9,5,10,24,-3,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501084,3/26/2016,TOR @ NOP,W,239,115,39,73,0.534,12,29,0.414,25,28,0.893,7,41,48,24,6,7,13,18,24,2015-16,Regular Season,TOR
22015,1610612761,TOR,Toronto Raptors,0021501098,3/28/2016,TOR vs. OKC,L,239,100,38,93,0.409,8,24,0.333,16,23,0.696,12,28,40,19,4,7,9,21,-19,2015-16,Regular Season,TOR
