SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642844,0022500004,"Oct 22, 2025",SAS @ DAL,W,23,7,14,0.5,1,2,0.5,0,2,0.0,1,3,4,2,0,0,4,5,15,5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500095,"Oct 24, 2025",SAS @ NOP,W,26,3,12,0.25,1,5,0.2,6,6,1.0,1,4,5,3,1,0,3,5,13,5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500105,"Oct 26, 2025",SAS vs. BKN,W,29,8,11,0.727,0,0,0.0,4,4,1.0,1,5,6,8,2,0,0,4,20,33,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500118,"Oct 27, 2025",SAS vs. TOR,W,27,4,9,0.444,1,2,0.5,2,2,1.0,1,5,6,6,1,0,1,3,11,6,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500141,"Oct 30, 2025",SAS vs. MIA,W,25,5,10,0.5,2,5,0.4,1,2,0.5,0,2,2,4,0,0,2,1,13,6,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500154,"Nov 02, 2025",SAS @ PHX,L,11,5,8,0.625,0,0,0.0,2,2,1.0,1,0,1,0,0,0,1,0,12,-7,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500067,"Nov 26, 2025",SAS @ POR,W,17,2,8,0.25,1,2,0.5,2,2,1.0,3,0,3,2,2,0,0,3,7,-5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500076,"Nov 28, 2025",SAS @ DEN,W,15,4,7,0.571,0,1,0.0,3,4,0.75,0,0,0,3,3,0,0,0,11,9,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500306,"Nov 30, 2025",SAS @ MIN,L,20,8,12,0.667,0,2,0.0,1,2,0.5,0,0,0,0,1,0,0,2,17,-15,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500322,"Dec 02, 2025",SAS vs. MEM,W,21,5,10,0.5,1,2,0.5,4,7,0.571,1,0,1,6,0,0,0,1,15,-1,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500326,"Dec 03, 2025",SAS @ ORL,W,22,5,12,0.417,1,3,0.333,5,5,1.0,2,3,5,5,2,0,5,2,16,-5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500341,"Dec 05, 2025",SAS @ CLE,L,23,1,11,0.091,0,5,0.0,1,4,0.25,1,3,4,6,0,0,2,2,3,2,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500366,"Dec 08, 2025",SAS @ NOP,W,26,10,16,0.625,1,3,0.333,1,2,0.5,0,3,3,6,0,0,2,0,22,3,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022501204,"Dec 10, 2025",SAS @ LAL,W,20,6,12,0.5,0,1,0.0,1,2,0.5,1,2,3,3,1,0,2,5,13,-2,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022501230,"Dec 13, 2025",SAS @ OKC,W,25,3,13,0.231,1,5,0.2,1,2,0.5,2,2,4,1,1,1,3,4,8,0,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500370,"Dec 18, 2025",SAS vs. WAS,W,23,9,13,0.692,3,5,0.6,3,3,1.0,2,3,5,3,0,0,1,1,24,13,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500383,"Dec 19, 2025",SAS @ ATL,W,18,3,6,0.5,0,0,0.0,0,0,0.0,0,3,3,4,0,0,2,1,6,21,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500399,"Dec 21, 2025",SAS @ WAS,W,18,0,8,0.0,0,4,0.0,1,2,0.5,1,1,2,3,0,0,2,3,1,12,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500417,"Dec 23, 2025",SAS vs. OKC,W,20,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,10,5,0,0,1,4,8,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500010,"Dec 25, 2025",SAS @ OKC,W,20,5,8,0.625,0,1,0.0,2,2,1.0,0,3,3,2,0,0,1,0,12,14,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500440,"Dec 27, 2025",SAS vs. UTA,L,27,3,10,0.3,0,4,0.0,1,1,1.0,1,6,7,12,3,0,2,3,7,-1,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500456,"Dec 29, 2025",SAS vs. CLE,L,17,5,11,0.455,1,2,0.5,0,2,0.0,0,4,4,1,1,0,4,1,11,-3,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500467,"Dec 31, 2025",SAS vs. NYK,W,16,1,6,0.167,0,3,0.0,0,0,0.0,1,1,2,0,1,0,1,2,2,-17,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500476,"Jan 02, 2026",SAS @ IND,W,29,9,15,0.6,1,3,0.333,3,3,1.0,1,1,2,1,2,1,1,0,22,4,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500490,"Jan 03, 2026",SAS vs. POR,L,23,2,12,0.167,2,3,0.667,0,0,0.0,1,2,3,3,1,2,0,2,6,-5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500512,"Jan 06, 2026",SAS @ MEM,L,18,2,7,0.286,0,3,0.0,0,0,0.0,1,1,2,3,0,1,1,1,4,6,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500523,"Jan 07, 2026",SAS vs. LAL,W,20,1,6,0.167,0,2,0.0,0,0,0.0,0,4,4,2,2,0,0,1,2,-2,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500545,"Jan 10, 2026",SAS @ BOS,W,22,2,7,0.286,1,3,0.333,0,0,0.0,1,3,4,1,0,0,2,4,5,6,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500552,"Jan 11, 2026",SAS @ MIN,L,11,0,5,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,-16,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500568,"Jan 13, 2026",SAS @ OKC,L,26,3,7,0.429,2,3,0.667,4,4,1.0,0,3,3,3,0,0,1,2,12,-17,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500582,"Jan 15, 2026",SAS vs. MIL,W,25,6,13,0.462,0,5,0.0,1,2,0.5,1,3,4,5,0,0,1,1,13,1,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500598,"Jan 17, 2026",SAS vs. MIN,W,21,4,9,0.444,1,4,0.25,0,0,0.0,0,3,3,3,0,0,0,2,9,5,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500611,"Jan 19, 2026",SAS vs. UTA,W,25,6,7,0.857,1,2,0.5,2,2,1.0,0,3,3,5,1,1,2,3,15,16,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500615,"Jan 20, 2026",SAS @ HOU,L,23,4,9,0.444,0,3,0.0,0,0,0.0,0,3,3,5,0,1,1,0,8,2,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500632,"Jan 22, 2026",SAS @ UTA,W,13,1,3,0.333,0,1,0.0,2,2,1.0,0,3,3,2,1,2,1,0,4,-3,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500654,"Jan 25, 2026",SAS vs. NOP,L,17,2,6,0.333,0,0,0.0,1,1,1.0,1,5,6,3,0,0,1,1,5,18,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500679,"Jan 28, 2026",SAS @ HOU,W,22,8,11,0.727,0,2,0.0,0,0,0.0,1,3,4,3,0,1,2,1,16,18,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500697,"Jan 31, 2026",SAS @ CHA,L,23,9,13,0.692,2,3,0.667,0,0,0.0,0,1,1,2,1,1,2,2,20,-6,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500703,"Feb 01, 2026",SAS vs. ORL,W,28,6,12,0.5,1,5,0.2,2,4,0.5,0,6,6,5,1,1,2,3,15,9,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500738,"Feb 05, 2026",SAS @ DAL,W,19,3,7,0.429,0,1,0.0,3,4,0.75,0,5,5,2,0,2,0,2,9,8,1,2025-26,Regular Season,1642844,Dylan Harper
22025,1642844,0022500749,"Feb 07, 2026",SAS vs. DAL,W,23,5,8,0.625,1,1,1.0,0,0,0.0,0,4,4,5,1,1,1,2,11,14,1,2025-26,Regular Season,1642844,Dylan Harper
